crime_year,latitude,longitude
2013,26.898095999024132,80.9738275186578
2016,26.869968138684005,80.97473072411502
2007,26.868196883504186,80.97982061831819
2010,26.91226552624039,80.93896584430188
2001,26.91229620636909,80.95901486208469
2018,26.904318990391793,80.94848585251495
2020,26.881847835104214,80.94904694962015
2007,26.91322138741261,80.94654965852662
2008,26.869692135069915,80.98850440227297
2017,26.902963445310505,80.96949185746095
2016,26.870256816230786,80.95178024790506
2005,26.87686541991788,80.93657685202369
2012,26.888976796298845,80.9509283523747
2009,26.87405782535735,80.98621908867352
2000,26.893963024268135,80.93701531006676
2018,26.84357478773822,81.00026180531522
2015,26.88267829231615,80.98570937132232
2023,26.838494118902855,80.95677188275373
2003,26.889936016155616,80.93996604169766
2022,26.907165433982247,80.97661638448068
2023,26.86255305057119,80.97162437137912
2004,26.884246385244513,80.93478717058618
2017,26.841842707596673,80.99802571544738
2021,26.910441746277595,80.93699524785842
2014,26.90107728436261,80.97180615854852
2023,26.876415733278566,80.97915422189568
2009,26.896872068641496,80.98707439267812
2021,26.868118778435235,80.98061459852194
2006,26.839068614351007,80.98412095156002
2006,26.914144217572105,80.98910836739253
2001,26.882260099644704,80.98312752828775
2022,26.867009762217965,80.95048999960508
2013,26.85511761553029,80.95045654119195
2014,26.90082022495263,80.94137703599834
2001,26.89320222765305,80.93569035713551
2015,26.86959664124772,81.00179027062657
2022,26.889138123253105,80.94956441054877
2008,26.881076632774576,80.98985072335982
2015,26.894916241456777,80.99663511059323
2014,26.90864292131576,80.98097685446191
2020,26.86189249889164,81.00233575281757
2002,26.90938537568196,80.97404434047958
2021,26.850057505793426,80.99637501413443
2021,26.881275559746427,80.9522270162688
2015,26.903434637167233,80.96071147429163
2020,26.847609648698615,80.99978403797726
2020,26.87356813403077,80.97815279308685
2018,26.867183143191294,80.94326221884876
2020,26.84493240584086,80.96384919775059
2006,26.88331515021806,80.98235073586613
2013,26.898472232444306,80.94967156423712
2016,26.894602708512753,80.96118219268196
2016,26.875062030695915,80.99564985267597
2011,26.883568829547404,80.99930452448365
2016,26.877547042393683,80.9553715149008
2010,26.901185184782765,81.00044199988187
2018,26.89440476423907,80.99688783904001
2018,26.86997312359661,80.94028803016357
2000,26.872206780063664,80.96948091778495
2009,26.90885718607807,80.93547364788635
2006,26.901529181298425,80.99859848418117
2001,26.876657890142873,80.96014185905408
2015,26.846437610204447,80.96355431983633
2009,26.90328154783235,80.94636891690381
2020,26.874040132761746,80.98483846328072
2005,26.904053594797197,80.98792762281177
2011,26.847741634256835,80.94703384426879
2010,26.88659123487335,80.95426425363306
2000,26.909153234962258,80.94667109912534
2004,26.914566867039817,80.97587316299712
2017,26.84776093155907,80.96424503442445
2000,26.87728333877311,80.97605706097859
2003,26.861274529259628,81.00029306155739
2017,26.889454125968204,80.96862966609234
2002,26.88759967253725,80.9747196024368
2023,26.885314883322106,80.95474475316674
2013,26.89526749622391,80.96971284313369
2016,26.858896155433754,80.98288524601988
2000,26.83905535912509,80.98184145910497
2006,26.895423232532455,80.99077846163235
2013,26.89692752497506,80.98617710484476
2012,26.897695901606557,81.00260123466505
2001,26.88590535518471,80.98128222747066
2004,26.84391428074432,80.97332298602373
2014,26.8569097349043,80.99637029037822
2001,26.840764167717076,80.97908272410025
2012,26.861394919301734,80.98754508502043
2006,26.894784677052357,80.94649611145957
2010,26.88702432455793,80.93916817844634
2008,26.911665080667262,80.98623319305692
2012,26.861767653020124,80.98716512361376
2019,26.91398533897493,80.98074132332277
2005,26.855118841338157,80.95482527874839
2022,26.84641783798067,80.94753150612497
2010,26.894758844489488,80.99960560112729
2017,26.896159226622803,80.93522597409152
2017,26.85301006868263,80.97083637776764
2006,26.90848640883949,80.9644515407845
2014,26.854689510418126,80.97103325230724
2004,26.869704390856786,80.97460402973535
2004,26.884871314263133,80.93679573639396
2012,26.839783786627535,80.97412270072007
2001,26.845023915371208,80.97851946962096
2002,26.865669063300523,81.000480785179
2001,26.88335127762973,80.98390291056998
2002,26.899981872977968,80.97548282005451
2022,26.86839553546021,80.9605035706572
2012,26.90814878051593,80.94372317777062
2015,26.84103516403772,80.95839058916116
2004,26.893182282738668,80.98596685534588
2004,26.881882508226436,80.99720227020843
2002,26.85199333648039,80.97655901279123
2016,26.85023446281408,80.94288478384573
2020,26.90064314175772,80.94831248214825
2001,26.846915745530534,80.94531496421583
2007,26.84793300679806,80.93619389506276
2001,26.8691860837749,80.96344241162078
2002,26.9139787826763,80.96214032769144
2007,26.86878778934034,81.00042732291908
2022,26.869158119910956,80.98397611333404
2007,26.853326795677702,80.95643163508598
2021,26.872933312946955,80.99335412618119
2022,26.89729115715553,80.9465621527511
2012,26.895428630935655,80.97390759921267
2015,26.871483795779827,80.93932772140059
2011,26.849524731643406,80.96788224496166
2014,26.869187482362893,80.94249539515441
2020,26.87076226859647,80.93928716262758
2011,26.90413329051761,80.9678442963976
2007,26.856072850003024,80.99028136465883
2004,26.852573049709363,80.99498156810587
2017,26.87635773688017,80.93947409612588
2004,26.902686129050863,80.93981521088423
2019,26.87404130967194,80.93964479063882
2021,26.86279982181082,80.9385725329185
2005,26.84167434279751,80.98655911946524
2013,26.898943062966758,80.99460854961006
2000,26.856140048438288,80.95872482713054
2006,26.903300306884198,80.99421894797061
2014,26.898218623945862,80.96298177745636
2006,26.86680940688264,80.95714565104454
2008,26.892966051308786,80.96440000205487
2021,26.877738649539882,80.95956552178906
2015,26.840245868710195,80.95936756961197
2021,26.87953249241805,80.96316088732488
2013,26.90837712411927,80.97174621621515
2014,26.872793048624416,80.95931139638594
2011,26.84423437782922,80.99732442556932
2014,26.899722152181063,80.99702476965601
2007,26.88585284472548,80.98131751503374
2003,26.889422407189222,80.95528544516158
2006,26.911683154310193,80.94939513468296
2013,26.907854472879436,80.96320876899499
2006,26.870222951540512,80.98198688096248
2022,26.875809896446206,80.95707401656855
2000,26.88282661365359,80.94408905222286
2022,26.856683963110786,80.96553566476207
2020,26.878840948191097,80.97346208248976
2015,26.848152850514325,80.93738762647456
2002,26.880144040627357,80.95075431085003
2018,26.900573217944217,80.96826894945048
2001,26.913001368337937,80.95530404149287
2005,26.892750473847215,80.99763314450841
2019,26.86446965958527,80.96995219588969
2001,26.905751725201263,80.97296460917164
2003,26.88171871612051,80.93978192200586
2018,26.87002513639536,80.99847526977263
2011,26.851935043168744,80.94585111081506
2015,26.870000114663668,80.96421881669336
2006,26.85597985832356,80.98386489229009
